.masse_A
t	x	y
5.100489e0	3.482557e-4	-3.482557e-4
5.234111e0	6.958578e-4	-8.717624e-3
5.367711e0	6.958578e-4	-1.266026e-2
5.501311e0	6.958578e-4	-1.955986e-2
5.634922e0	3.482557e-4	-2.786046e-2
5.768533e0	3.482557e-4	-3.517383e-2
5.902144e0	1.393023e-3	-4.335784e-2
6.035733e0	1.741279e-3	-5.136772e-2
6.169356e0	2.263662e-3	-5.693981e-2
6.302967e0	2.960174e-3	-6.338254e-2
6.436578e0	1.218895e-3	-6.999940e-2
6.570178e0	3.656685e-3	-7.905405e-2
6.703778e0	3.656685e-3	-8.601916e-2
6.837389e0	3.656685e-3	-9.281015e-2
6.970978e0	2.715906e-3	-1.018762e-1
7.104589e0	3.268789e-3	-1.085108e-1
7.238211e0	3.545230e-3	-1.168040e-1
7.371811e0	3.268789e-3	-1.234386e-1
7.505422e0	2.992348e-3	-1.317319e-1
7.639022e0	5.480319e-3	-1.356020e-1
7.772622e0	4.374554e-3	-1.425131e-1
7.906233e0	4.650995e-3	-1.497005e-1
8.039833e0	3.268789e-3	-1.571645e-1
8.173456e0	4.374554e-3	-1.637990e-1
8.307056e0	3.268789e-3	-1.704336e-1
8.440656e0	2.992348e-3	-1.751331e-1
8.574311e0	3.821672e-3	-1.845321e-1
8.707878e0	4.650995e-3	-1.881259e-1
8.841489e0	4.927437e-3	-1.939311e-1
8.975089e0	4.927437e-3	-2.008422e-1
9.108700e0	6.033202e-3	-2.077532e-1
9.242311e0	5.756761e-3	-2.163229e-1
9.375889e0	6.586085e-3	-2.237868e-1
9.509522e0	7.138967e-3	-2.329094e-1
9.643122e0	8.797615e-3	-2.376089e-1
9.776733e0	6.862526e-3	-2.461786e-1
9.910400e0	7.691850e-3	-2.517074e-1
1.004394e1	7.415409e-3	-2.575126e-1
1.017756e1	7.968291e-3	-2.647001e-1
1.031114e1	7.138967e-3	-2.716112e-1
1.044477e1	7.138967e-3	-2.754813e-1
1.057837e1	6.309643e-3	-2.832217e-1
1.071197e1	7.138967e-3	-2.904092e-1
1.084559e1	8.244733e-3	-2.940029e-1
1.097918e1	7.691850e-3	-3.003611e-1
1.111280e1	7.042741e-3	-3.086457e-1
1.124639e1	9.455891e-3	-3.152271e-1
1.138000e1	8.797759e-3	-3.200534e-1
1.151362e1	1.164966e-2	-3.253184e-1
1.164722e1	1.164966e-2	-3.310222e-1
1.178082e1	1.077215e-2	-3.349710e-1
1.191442e1	1.097006e-2	-3.386787e-1
1.204804e1	1.079593e-2	-3.428578e-1
1.218166e1	1.201482e-2	-3.479075e-1
1.231526e1	1.305959e-2	-3.536537e-1
1.244886e1	1.288546e-2	-3.606188e-1
1.258246e1	1.427848e-2	-3.668874e-1
1.271607e1	1.445261e-2	-3.721112e-1
1.284968e1	1.374647e-2	-3.778938e-1
1.298329e1	1.284522e-2	-3.854202e-1
1.311689e1	1.219374e-2	-3.914138e-1
1.325050e1	1.440878e-2	-3.974075e-1
1.338410e1	1.388759e-2	-4.011860e-1
1.351771e1	1.349670e-2	-4.099159e-1
1.365132e1	1.362700e-2	-4.144763e-1
1.378493e1	1.453907e-2	-4.206002e-1
1.391852e1	1.598509e-2	-4.244832e-1
1.405214e1	1.653797e-2	-4.297356e-1
1.418574e1	1.570865e-2	-4.355409e-1
1.431934e1	1.681441e-2	-4.402404e-1
1.445294e1	1.764374e-2	-4.427283e-1
1.458656e1	1.543221e-2	-4.479807e-1
1.472017e1	1.653797e-2	-4.504687e-1
1.485378e1	1.653797e-2	-4.571033e-1
1.498739e1	1.570865e-2	-4.620792e-1
1.512100e1	1.819662e-2	-4.662258e-1
1.525460e1	1.957883e-2	-4.736898e-1
1.538821e1	1.985527e-2	-4.781128e-1
1.552181e1	2.096103e-2	-4.828123e-1
1.565541e1	2.013171e-2	-4.880647e-1
1.578903e1	1.543221e-2	-4.949757e-1
1.592266e1	1.874950e-2	-4.991224e-1
1.605624e1	1.957883e-2	-5.027161e-1
1.618986e1	1.847306e-2	-5.099036e-1
1.632346e1	2.013171e-2	-5.159853e-1
1.645707e1	2.013171e-2	-5.184732e-1
1.659067e1	1.957883e-2	-5.242785e-1
1.672429e1	2.013171e-2	-5.292545e-1
1.685788e1	2.123747e-2	-5.375477e-1
1.699148e1	2.123747e-2	-5.405886e-1
1.712510e1	2.013171e-2	-5.486053e-1
1.725869e1	1.957883e-2	-5.533049e-1
1.739231e1	2.179036e-2	-5.591101e-1
1.752591e1	2.206680e-2	-5.651918e-1
1.765952e1	2.317256e-2	-5.709971e-1
1.779312e1	2.289612e-2	-5.784610e-1
1.792673e1	2.123747e-2	-5.831605e-1
1.806033e1	1.985527e-2	-5.909009e-1
1.819396e1	2.179036e-2	-5.967061e-1
1.832756e1	2.234324e-2	-6.014056e-1
1.846117e1	2.068459e-2	-6.077638e-1
1.859476e1	2.123747e-2	-6.124633e-1
1.872838e1	2.013171e-2	-6.196508e-1
1.886198e1	2.042476e-2	-6.243297e-1
1.899558e1	2.064413e-2	-6.313498e-1
1.912919e1	2.349604e-2	-6.361761e-1
1.926280e1	1.998600e-2	-6.418799e-1
1.953001e1	2.013171e-2	-6.517180e-1
1.966361e1	2.040815e-2	-6.561410e-1
1.979722e1	1.764374e-2	-6.605641e-1
1.993082e1	2.068459e-2	-6.638814e-1
2.006444e1	2.068459e-2	-6.694102e-1
2.019803e1	2.179036e-2	-6.763212e-1
2.033164e1	2.151392e-2	-6.804679e-1
2.046527e1	2.068459e-2	-6.865496e-1
2.059887e1	2.068459e-2	-6.909726e-1
2.073248e1	2.068459e-2	-6.956721e-1
2.086608e1	2.179036e-2	-7.009245e-1
2.099968e1	1.957883e-2	-7.078355e-1
2.113330e1	2.179036e-2	-7.111528e-1
2.126689e1	2.096103e-2	-7.172345e-1
2.140050e1	2.096103e-2	-7.216576e-1
2.153412e1	1.957883e-2	-7.302273e-1
2.166771e1	2.179036e-2	-7.338210e-1
2.180132e1	2.068459e-2	-7.387970e-1
2.193493e1	1.930238e-2	-7.432200e-1
2.206852e1	2.261968e-2	-7.473667e-1
2.220214e1	2.289612e-2	-7.520662e-1
2.233574e1	2.234324e-2	-7.553834e-1
2.246934e1	2.179036e-2	-7.609123e-1
2.260296e1	2.427833e-2	-7.656118e-1
2.273657e1	2.400189e-2	-7.719699e-1
2.287018e1	2.234324e-2	-7.769459e-1
2.300378e1	2.096103e-2	-7.819218e-1
2.313739e1	2.123747e-2	-7.877271e-1
2.327099e1	2.151392e-2	-7.929795e-1
2.340459e1	2.151392e-2	-7.974025e-1
2.353820e1	2.068459e-2	-8.012727e-1
2.367184e1	2.206680e-2	-8.084602e-1
2.380542e1	2.123747e-2	-8.131597e-1
2.393902e1	2.206680e-2	-8.156477e-1
2.407262e1	2.400189e-2	-8.228351e-1
2.420624e1	2.234324e-2	-8.272582e-1
2.433984e1	2.400189e-2	-8.336163e-1
2.447344e1	2.179036e-2	-8.421860e-1
2.460706e1	2.289612e-2	-8.457798e-1
2.474066e1	2.179036e-2	-8.524143e-1
2.487433e1	2.372545e-2	-8.562845e-1
2.500788e1	2.344900e-2	-8.612605e-1
2.514149e1	2.234324e-2	-8.678951e-1
2.527509e1	2.179036e-2	-8.712124e-1
2.540870e1	2.106947e-2	-8.765596e-1
2.554236e1	2.263662e-2	-8.840471e-1
2.567596e1	2.019883e-2	-8.889227e-1
2.580952e1	2.054709e-2	-8.969326e-1
2.594312e1	2.524854e-2	-8.997187e-1
2.607672e1	2.646743e-2	-9.042460e-1
2.634394e1	2.420377e-2	-9.124300e-1
