	masse_A
t	x	y
0.000	0.000	5.551e-17
0.067	7.402e-4	-2.443e-2
0.134	7.402e-4	-5.625e-2
0.200	7.402e-4	-9.030e-2
0.267	-7.402e-4	-0.118
0.334	-9.687e-4	-0.150
0.401	-9.687e-4	-0.181
0.468	-3.811e-4	-0.207
0.534	-9.687e-4	-0.240
0.601	-9.687e-4	-0.268
0.668	-7.329e-6	-0.297
0.735	6.522e-4	-0.322
0.802	-6.669e-4	-0.354
0.868	-7.329e-6	-0.381
0.935	-7.329e-6	-0.410
1.002	-7.329e-6	-0.433
1.069	6.522e-4	-0.461
1.136	-7.329e-6	-0.488
1.202	-6.669e-4	-0.515
1.269	-1.986e-3	-0.541
1.336	-3.305e-3	-0.566
1.403	-1.986e-3	-0.592
1.470	-1.986e-3	-0.617
1.536	-7.329e-6	-0.640
1.603	-1.986e-3	-0.664
1.670	-6.669e-4	-0.689
1.737	-1.986e-3	-0.714
1.804	-7.329e-6	-0.741
1.870	-1.326e-3	-0.767
1.937	-1.326e-3	-0.791
2.004	-7.329e-6	-0.816
2.071	-6.669e-4	-0.840
2.138	-1.986e-3	-0.867
2.205	-6.669e-4	-0.891
2.271	-1.986e-3	-0.917
2.338	-7.329e-6	-0.933
