.	masse_A
t	x	y
0.000000e0	3.115297e-4	-3.115297e-4
3.340000e-2	3.208749e-4	-8.713181e-3
6.680000e-2	-2.934864e-5	-1.599389e-2
1.002000e-1	4.413820e-6	-2.573583e-2
1.336000e-1	1.841251e-4	-3.332263e-2
1.670111e-1	1.991385e-4	-4.163345e-2
2.004000e-1	5.847297e-4	-4.996750e-2
2.338111e-1	4.724487e-4	-5.637075e-2
2.672111e-1	5.516835e-4	-6.415857e-2
3.006111e-1	3.554995e-4	-7.189487e-2
3.340111e-1	1.116175e-4	-7.938641e-2
3.674222e-1	1.463448e-4	-8.831564e-2
4.008111e-1	-2.074010e-4	-9.605182e-2
4.342222e-1	5.093853e-4	-1.033900e-1
4.676222e-1	2.651469e-4	-1.117494e-1
5.010333e-1	4.523483e-4	-1.187894e-1
5.344222e-1	6.424854e-4	-1.266182e-1
5.678222e-1	6.716178e-4	-1.334795e-1
6.012222e-1	6.792762e-4	-1.416619e-1
6.346333e-1	8.471421e-4	-1.491416e-1
6.680333e-1	8.553161e-4	-1.570349e-1
7.014333e-1	6.659082e-4	-1.649423e-1
7.348333e-1	1.055707e-3	-1.728502e-1
7.682333e-1	8.138602e-4	-1.804822e-1
8.016444e-1	9.823405e-4	-1.873430e-1
8.350333e-1	9.849209e-4	-1.950783e-1
8.684444e-1	8.911896e-4	-2.019305e-1
9.018444e-1	1.099375e-3	-2.100129e-1
9.352444e-1	8.358709e-4	-2.173746e-1
9.686444e-1	3.635863e-4	-2.240616e-1
1.002056e0	5.238875e-4	-2.327659e-1
1.035444e0	3.757511e-4	-2.400726e-1
1.068878e0	8.509759e-5	-2.481158e-1
1.102256e0	3.244538e-4	-2.555040e-1
1.135644e0	5.502969e-4	-2.632244e-1
1.169056e0	6.471419e-4	-2.695836e-1
1.202467e0	3.733416e-4	-2.766494e-1
1.235911e0	4.964208e-4	-2.838794e-1
1.269267e0	4.965376e-4	-2.914857e-1
1.302656e0	5.493606e-4	-2.984740e-1
1.336067e0	2.343256e-4	-3.054968e-1
1.369467e0	3.246610e-4	-3.127762e-1
1.402867e0	4.810821e-4	-3.192547e-1
1.436256e0	2.563499e-4	-3.260483e-1
1.469667e0	8.336242e-5	-3.331268e-1
1.503078e0	-1.791636e-4	-3.399289e-1
1.536467e0	1.474927e-4	-3.463134e-1
1.569878e0	3.802011e-4	-3.537229e-1
1.603278e0	4.855549e-4	-3.615957e-1
1.636678e0	9.088863e-4	-3.682715e-1
1.670078e0	1.103130e-3	-3.752354e-1
1.703511e0	7.751077e-4	-3.814747e-1
1.736878e0	8.684164e-4	-3.884122e-1
1.770289e0	6.890255e-4	-3.947643e-1
1.803700e0	3.447985e-4	-4.024441e-1
1.837089e0	2.251785e-4	-4.092840e-1
1.870489e0	-4.477616e-4	-4.156540e-1
1.903933e0	-3.173077e-4	-4.229276e-1
1.937289e0	-1.393819e-4	-4.300512e-1
1.970689e0	3.921315e-5	-4.370505e-1
2.004100e0	4.798907e-5	-4.438423e-1
2.037500e0	6.602647e-5	-4.506131e-1
2.070900e0	2.842599e-4	-4.585918e-1
2.104300e0	3.415445e-4	-4.648653e-1
2.137689e0	2.338567e-4	-4.711710e-1
2.171111e0	1.645151e-4	-4.784074e-1
2.204511e0	2.133344e-6	-4.841385e-1
2.237911e0	2.928327e-4	-4.911052e-1
2.271311e0	2.078251e-4	-4.978519e-1
2.304733e0	2.293313e-5	-5.045503e-1
2.338111e0	-1.730657e-5	-5.118456e-1
2.371522e0	1.829204e-4	-5.179933e-1
2.404911e0	7.032272e-4	-5.239193e-1
2.438333e0	4.698327e-4	-5.316330e-1
2.471722e0	4.711405e-4	-5.378734e-1
2.505122e0	4.240450e-4	-5.454363e-1
2.538522e0	5.469496e-4	-5.516721e-1
2.572011e0	6.977786e-4	-5.584415e-1
2.605333e0	5.768271e-4	-5.642988e-1
2.638733e0	5.516299e-4	-5.718653e-1
2.672122e0	3.006569e-4	-5.776569e-1
2.705544e0	8.386616e-5	-5.853280e-1
2.738944e0	1.564235e-4	-5.912503e-1
2.772333e0	3.775774e-4	-5.982797e-1
2.805733e0	3.482316e-4	-6.043108e-1
2.839144e0	4.017899e-4	-6.106416e-1
2.872533e0	4.582925e-4	-6.171611e-1
2.905944e0	7.820846e-4	-6.233166e-1
2.939344e0	3.823131e-4	-6.305252e-1
2.972744e0	-3.856517e-5	-6.381162e-1
3.006156e0	8.974333e-5	-6.446776e-1
3.039544e0	2.346132e-4	-6.515730e-1
3.072944e0	-1.063132e-6	-6.575463e-1
3.106356e0	-3.092768e-4	-6.636676e-1
3.139744e0	2.138362e-4	-6.715116e-1
3.173156e0	4.624265e-4	-6.784209e-1
3.206567e0	3.646750e-4	-6.848617e-1
3.239989e0	3.407271e-4	-6.913744e-1
3.273356e0	4.819346e-4	-6.978223e-1
3.306800e0	5.286830e-4	-7.040152e-1
3.340156e0	7.244507e-4	-7.103567e-1
3.373556e0	6.264471e-4	-7.160323e-1
3.406967e0	5.764268e-4	-7.237295e-1
3.440367e0	4.235532e-4	-7.294575e-1
3.473767e0	5.741760e-4	-7.356694e-1
3.507167e0	5.730045e-4	-7.424305e-1
3.540578e0	4.957288e-4	-7.488487e-1
3.573978e0	6.292536e-4	-7.550023e-1
3.607378e0	2.617083e-4	-7.620227e-1
3.640778e0	1.115156e-4	-7.687494e-1
3.674189e0	1.204307e-4	-7.759262e-1
3.707589e0	-1.101684e-4	-7.818062e-1
3.740978e0	5.086317e-5	-7.883935e-1
3.774378e0	8.180585e-5	-7.939873e-1
3.807789e0	9.893397e-5	-8.003468e-1
3.841200e0	1.526980e-4	-8.061435e-1
3.874578e0	2.491282e-4	-8.121768e-1
3.907978e0	5.980486e-4	-8.183657e-1
3.941400e0	2.326724e-4	-8.249887e-1
3.974789e0	-2.723176e-4	-8.311712e-1
4.008189e0	-1.592883e-4	-8.370651e-1
4.041611e0	-1.796341e-5	-8.429738e-1
4.074989e0	5.603208e-5	-8.490168e-1
4.108389e0	1.571256e-4	-8.558662e-1
4.141822e0	3.986792e-4	-8.615759e-1
